player,player_id,position,player_game_count,team_name,dropbacks,pressure_dropbacks,pressure_sacks,pressure_attempts,pressure_completions,pressure_thrown_aways,pressure_hit_as_threw,pressure_drops,pressure_yards,pressure_touchdowns,pressure_interceptions,pressure_dropback_percent,pressure_sack_percent,pressure_completion_percent,pressure_accuracy_percent,pressure_qb_rating
Kirk Cousins,7102,QB,11,MIN,494,201,28,164,111,8,4,5,1225,5,5,40.7,13.9,67.7,77.9,87.1
Deshaun Watson,11767,QB,11,HST,414,179,36,117,64,10,3,3,920,5,5,43.2,20.1,54.7,65.7,76.9
Aaron Rodgers,2241,QB,11,GB,470,160,34,113,39,39,5,2,638,5,0,34,21.3,34.5,59.4,69.1
Blake Bortles,8638,QB,11,JAX,434,156,27,111,54,9,8,10,658,2,2,35.9,17.3,48.6,71.1,65.8
Eli Manning,1722,QB,11,NYG,443,153,38,113,60,5,4,5,673,4,4,34.5,24.8,53.1,62.5,68.2
Matt Ryan,4317,QB,11,ATL,482,153,33,117,66,14,2,6,888,5,3,31.7,21.6,56.4,72.7,84.3
Case Keenum,7323,QB,11,DEN,420,149,26,121,56,16,9,6,698,3,3,35.5,17.4,46.3,64.6,62.6
Patrick Mahomes,11765,QB,11,KC,432,147,20,119,53,12,11,5,847,5,6,34,13.6,44.5,63,61.9
Dak Prescott,10769,QB,11,DAL,400,146,38,96,45,11,4,4,554,3,1,36.5,26,46.9,61.3,71.3
Matthew Stafford,4924,QB,11,DET,450,139,32,99,51,8,5,7,618,4,3,30.9,23,51.5,67.4,71.9
Derek Carr,8671,QB,11,OAK,427,132,35,93,48,10,3,7,678,2,6,30.9,26.5,51.6,69.6,55.8
Andrew Luck,7007,QB,11,IND,458,130,11,115,69,3,5,2,740,8,4,28.4,8.5,60,67,87.6
Cam Newton,6153,QB,11,CAR,404,129,20,95,45,14,0,3,448,2,5,31.9,15.5,47.4,61.5,46.3
Jared Goff,10635,QB,11,LAR,422,125,25,94,41,20,2,7,615,4,2,29.6,20,43.6,66.7,71
Ben Roethlisberger,1732,QB,11,PIT,500,117,16,94,46,5,4,7,678,4,7,23.4,13.7,48.9,63.9,56.1
Joe Flacco,4332,QB,9,BLT,400,113,16,95,46,13,4,3,456,2,4,28.3,14.2,48.4,65.3,51.9
Tom Brady,698,QB,11,NE,422,109,16,89,38,15,1,7,503,8,3,25.8,14.7,42.7,61.6,77.1
