player,DRP%,Y/PR,TD,Yards 
Deandre Hopkins,0,2.3,9,1151
StefonDiggs ,0,1.78,6,839
Antonio Brown,1.3,1.83,12,1063
Robert Woods,2.6,2.12,5,1032
Michael Thomas,2.8,2.87,8,1218
Keenan Allen,3.2,2.65,6,1074
Odell Beckham Jr.,3.7,2.26,6,1052
Tyler Boyd,3.8,2.06,6,990
T.Y. Hilton,4.5,2.5,6,986
Adam Thielen,4.6,2.21,9,1166
Devante Adams,4.8,2.2,12,1196
JuJu Smith-Schuster,5,2.24,6,1234
Emmanuel Sanders,5.1,2.12,4,868
Jarvis Landry,5.2,1.63,3,790
Julio Jones,5.7,2.9,5,1429
Tyreek Hill,6.1,2.61,11,1258
Mike Evans,6.3,2.26,5,1207
